wav_id,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
5f41473b9dd513131eacee5f,내 잘못이니 어쩔 수 없지. 다음부턴 안 그럴 거야.,disgust,sadness,2,disgust,1,sadness,2,disgust,1,sadness,2,48,female
5f4147619dd513131eacee61,드디어 구매한 노트북이 도착했어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,2,48,female
5f4147779dd513131eacee62,알바비를 모아서 산 거기 때문에 좋은 건 못 샀어.,happiness,neutral,0,happiness,1,sadness,1,happiness,1,neutral,0,48,female
5f4147969dd513131eacee63,알았어. 걱정하지 마. 꼼꼼히 살펴보고 또 살펴 볼게.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
5f4147ae9dd513131eacee64,"할 게 너무너무 많아. 영화도 봐야 되지, 그 동안 못 봤던 드라마나 예능 프로그램. 그리고 이걸로 프로젝트도 해야 돼.",happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,48,female
5f4147dc9dd513131eacee65,"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼.",happiness,surprise,2,happiness,1,happiness,1,happiness,1,neutral,0,48,female
5f41487d9dd513131eacee74,내일 친구 만나는데 뭘 먹어야 될지 정말 고민이야.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,sadness,1,48,female
5f4148959dd513131eacee75,음식점이 많기로 소문 난 강남역에서 만나기로 했어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,48,female
5f4148b09dd513131eacee76,난 일식을 좋아하지만 그래도 양식도 좋아하기도 해. 둘 다 먹을 수 있어.,neutral,neutral,0,happiness,1,neutral,0,neutral,0,sadness,1,48,female
5f4148cd9dd513131eacee77,에피타이저 푸짐하게 주는 집이면 더 좋지. 그런 곳을 알려 줘.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
5f4148ed9dd513131eacee78,그렇지. 빨리 알려 줘. 내 친구랑 의논해서 내일 정말 맛있게 먹고 올게.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
5f4149139dd513131eacee7a,나 드디어 프로젝트 끝냈어!,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4149299dd513131eacee7b,당연하지. 한 달 동안 주말도 반납해가면서 만든 프로젝트야. 완전히 끝냈다고.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4149479dd513131eacee7c,그래. 신나는 음악 들으면서 맘껏 춤 추고 싶어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f41495e9dd513131eacee7d,벌써 다 약속 잡아 놨지. 내일 만나기로 했어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
5f4149779dd513131eacee7e,그렇잖아도 내일 친구들이랑 만나서 여행 계획을 세울 거야. 좋은 생각이지?,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
5f41499c9dd513131eacee80,나 너무 우울해. 매일매일이 정말 힘들어.,sadness,sadness,2,sadness,2,sadness,2,sadness,2,sadness,2,48,female
5f414a0b9dd513131eacee83,맞아. 밖에 나가서 햇빛을 못 보니 몸이 지치고 마음은 더 힘들고.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
5f414a289dd513131eacee84,그런 음악 있으면 빨랑빨랑 추천해 줘. 듣고 힘 좀 내게.,sadness,sadness,2,happiness,1,sadness,1,sadness,1,sadness,1,48,female
5f414a419dd513131eacee85,영화까지 찾아주면 내가 좀 더 힘을 내볼 수 있을 거야. 얼른 찾아 줘.,sadness,neutral,0,happiness,1,happiness,1,neutral,0,happiness,1,48,female
5f414a679dd513131eacee87,아니 요즘은 왜들 다 이러는 건지 이해할 수가 없어.,angry,disgust,2,angry,1,angry,2,disgust,2,angry,2,48,female
5f414a7c9dd513131eacee88,내가 좋아하는 유튜버가 괜찮은 제품이라고 하나 소개해서 나도 샀거든. 그랬더니 그게 돈 받고 하는 광고였대.,angry,disgust,2,sadness,1,angry,2,angry,1,angry,2,48,female
5f414a9b9dd513131eacee89,더 실망스러운 건 모르는 척 하는 거야. 그래서 우리가 증거를 들이밀었지. 그랬더니 그 때서야 우리한테 사과하더라고.,angry,disgust,2,angry,2,angry,2,disgust,1,angry,1,48,female
5f414ac39dd513131eacee8a,억지로 하는 사과가 진정성이 있었을까? 우리가 더 상처 받은 느낌이야.,angry,disgust,2,angry,2,sadness,2,disgust,1,angry,1,48,female
5f414ae39dd513131eacee8b,기분이 좀 나아진다면 그런 영상도 필요할 거라고 생각해. 좀 부탁해.,angry,neutral,0,angry,1,sadness,2,sadness,1,sadness,1,48,female
5f414b109dd513131eacee8d,나 아무래도 혼자 갇힌 것 같애.,fear,sadness,2,fear,2,fear,2,fear,2,fear,2,48,female
5f414b269dd513131eacee8e,자고 일어났더니 온 마을이 다 물바다야. 나 혼자 있어. 무서워.,fear,fear,2,fear,2,fear,2,fear,2,fear,2,48,female
5f414b409dd513131eacee8f,"내가 잠이 들면 업어가도 몰라. 그래서 재난 문자랑 피하라는 전화도 못 받고, 그냥 잠만 자고 있었나 봐.",fear,sadness,2,fear,2,fear,1,fear,1,fear,2,48,female
5f414b609dd513131eacee90,우리 집 주위에 다 물로 차 있어. 나갈 수가 없어.,fear,fear,2,fear,2,sadness,2,fear,1,fear,2,48,female
5f414b7a9dd513131eacee91,내 몸은 괜찮아. 다친 덴 없어. 그리고 우리 집까진 아직 들어오지 않았어.,fear,neutral,0,fear,2,sadness,2,fear,1,sadness,1,48,female
5f41cb619dd513131eacee93,"내일 친구랑 만나기로 했는데, 뭘 먹을지 모르겠어.",neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
5f41cb7b9dd513131eacee94,강남역에서 만나기로 했는데 아직도 뭘 먹을지 못 정했어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
5f41cb9b9dd513131eacee95,강남역에 맛집이 너무 많으니까 더 못 고르겠더라고. 나는 일식을 좋아하니까 일식을 먹었으면 좋겠어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
5f41cbfb9dd513131eacee97,"평점과 리뷰가 좋다고 하니까, 어떤.",neutral,neutral,0,happiness,1,neutral,0,neutral,0,happiness,1,46,female
5f41cc219dd513131eacee98,평점과 리뷰가 좋다고 하니까 엄청 맛있을 거 같아. 너가 추천한 곳으로 가서 친구랑 맛있게 먹을게.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,46,female
5f41ccf79dd513131eacee9e,나 드디어 프로젝트가 끝났어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41cd159dd513131eacee9f,프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.,happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41cd379dd513131eaceea0,신나는 음악을 들으면서 춤이라도 추고 싶은 게 내 심정이야. 그만큼 기분이 좋아.,happiness,happiness,1,happiness,2,happiness,1,happiness,2,happiness,2,46,female
5f41cd589dd513131eaceea1,"프로젝트를 하느라고 한 달 동안 친구를 못 만났는데, 못 만났던 친구를 만나는 것도 좋을 거 같아.",happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,46,female
5f41cdaf9dd513131eaceea2,시간이 된다면 여행을 가서 마음을 좀 힐링 시키고 오고 싶어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,46,female
5f41ce859dd513131eaceeab,내 휴가가 엉망이야.,angry,disgust,1,angry,2,sadness,2,sadness,1,sadness,2,46,female
5f41ce9a9dd513131eaceeac,"오늘부터 휴가 기간인데, 휴가 기간 내내 비 소식이 있어. 너무 짜증 나.",angry,disgust,2,angry,2,angry,2,sadness,1,sadness,2,46,female
5f41cee29dd513131eaceead,"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",angry,disgust,2,angry,2,sadness,2,sadness,1,sadness,2,46,female
5f41cf439dd513131eaceeaf,휴가 기간 내내 비가 온다니까 아무래도 집에서 보낼 수 있는 방법을 찾아봐야 될 거 같아. 쉬면서 휴가를 즐겁게 보낼 수 있는 방법을 찾아볼게.,angry,neutral,0,angry,2,sadness,1,sadness,1,sadness,1,46,female
5f41cf799dd513131eaceeb0,휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 휴가를 보낼 수 있는 방법을 찾아 봐야 할 거 같아.,angry,neutral,0,angry,2,sadness,1,sadness,1,sadness,1,46,female
5f41cfb19dd513131eaceeb2,드디어 구매한 노트북이 도착했어.,happiness,happiness,2,happiness,1,happiness,2,happiness,2,happiness,2,46,female
5f41d0279dd513131eaceeb5,오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
5f41d0509dd513131eaceeb6,노트북으로는 지금 구상하고 있는 만화를 만들 거야.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,46,female
5f41d07f9dd513131eaceeb7,종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.,happiness,neutral,0,happiness,1,happiness,1,neutral,0,neutral,0,46,female
5f41d0e79dd513131eaceebb,쓰레기통에서 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,disgust,1,46,female
5f41d1259dd513131eaceebd,쓰레기통에서 냄새가 진동을 하고 날파리가 생겨서 지금 당장 쓰레기를 묶어서 버려야 할 거 같아.,disgust,neutral,0,disgust,2,disgust,1,disgust,1,disgust,1,46,female
5f41d1429dd513131eaceebe,고약한 냄새가 너무 심해서 방향제로 해결이 안 될 수도 있을 거 같아.,disgust,neutral,0,disgust,2,disgust,1,disgust,1,sadness,1,46,female
5f41d1809dd513131eaceebf,힘들어도 내가 쓰레기통에 음식물 쓰레기를 버려서 생긴 일이니까 얼른 치워야지. 어쩌겠어.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,sadness,1,46,female
5f41d1a69dd513131eaceec1,화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry,disgust,1,angry,2,disgust,1,disgust,2,angry,1,46,female
5f41d1ce9dd513131eaceec2,화장실에 환기를 자주 시키는데 왜 이렇게 곰팡이가 안 없어질까?,angry,neutral,0,angry,2,sadness,1,disgust,1,sadness,1,46,female
5f41d2029dd513131eaceec3,계속 비가 오니까 습기가 많아서 곰팡이가 정말 안 없어지나 봐. 볼 때마다 청소를 하니까 너무 힘들어.,angry,disgust,1,angry,2,sadness,1,disgust,1,sadness,1,46,female
5f41d2279dd513131eaceec4,화장실에 곰팡이를 없애는데 곰팡이 제거제가 효과가 있을까?,angry,neutral,0,angry,1,sadness,1,disgust,1,neutral,0,46,female
5f41d2449dd513131eaceec5,곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나 한번 구매해서 사용해볼래. 괜찮은 걸로 추천 좀 해줘봐.,angry,neutral,0,happiness,1,happiness,1,disgust,1,neutral,0,46,female
5f41d2e19dd513131eaceecd,나 너무 우울해.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
5f41d2f69dd513131eaceece,코로나 때문에 재택 근무를 시작하면서 집에 있게 되니까 너무 우울해.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
5f41d3169dd513131eaceecf,모든 일을 비대면으로 처리하다 보니까 밖에 나갈 일이 없어서 괜히 몸이 기력이 없고 쳐져.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,1,46,female
5f41d33f9dd513131eaceed0,기분이 우울할 때는 음악을 들으면 좀 나아질 거 같아.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,46,female
5f41d3659dd513131eaceed1,"노래는 신나는 노래가 좋고, 영화는 재밌게 웃을 수 있는 영화였으면 좋겠어.",sadness,neutral,0,happiness,1,sadness,1,sadness,1,sadness,1,46,female
5f41d38e9dd513131eaceed3,나 아까 해피를 산책시키다가 깜짝 놀랐어.,surprise,surprise,2,surprise,2,surprise,2,surprise,1,surprise,2,46,female
5f41d3a49dd513131eaceed4,해피의 목줄이 갑자기 끊어져서 해피가 막 달려 나갔어.,surprise,surprise,1,surprise,2,surprise,1,surprise,1,fear,2,46,female
5f41d4459dd513131eaceed8,"아까는 해피 때문에 너무 놀라서 진정이 안 됐는데, 집에 와서 좀 쉬니까 마음이 진정 돼.",surprise,sadness,1,surprise,2,sadness,1,neutral,0,surprise,1,46,female
5f41d4699dd513131eaceed9,"아까는 해피 때문에 엄청 놀랐는데, 집에 와서 좀 쉬고 나니까 마음이 진정이 돼.",surprise,sadness,1,surprise,1,sadness,1,neutral,0,neutral,0,46,female
5f41d4ce9dd513131eaceede,헐! 나 이벤트에 당첨 됐어.,happiness,surprise,2,happiness,2,happiness,2,happiness,1,surprise,1,46,female
5f41d4e59dd513131eaceedf,내가 좋아하는 인플루언서가 진행하는 이벤트에 당첨 됐어. 너무 기뻐!,happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d58c9dd513131eaceee4,"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어.",happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d5f79dd513131eaceee8,"10km 마라톤 대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!",happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d61b9dd513131eaceee9,내가 달리는 운동을 너무 좋아해서 매번 열심히 연습해서 마라톤 대회에 출전했더니 좋은 성적을 낸 거 같아.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d63e9dd513131eaceeea,"달리는 동안에는 엄청 힘들고 지쳤는데, 결승선을 들어서는 순간 기분이 엄청 좋았어! 날아갈 거 같았어!",happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d6699dd513131eaceeeb,함께 달리는 크루가 있어서 힘들고 지칠 때 서로 힘이 돼서 너무 좋아.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
5f41d7229dd513131eaceef2,나 어제 자다가 깜짝 놀라서 깼어.,surprise,neutral,0,surprise,2,surprise,1,surprise,1,surprise,2,46,female
5f41d73e9dd513131eaceef3,간신히 잠이 들어서 자고 있는데 엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깼어.,surprise,surprise,1,surprise,2,fear,1,disgust,1,surprise,2,46,female
5f41d7639dd513131eaceef4,엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깨서 무서워서 잠을 못 잤어.,surprise,fear,1,surprise,2,sadness,1,disgust,1,surprise,2,46,female
5f41d7849dd513131eaceef5,"천둥 번개 소리 때문에 어제는 너무 놀라고 무서워서 잠도 못 잤는데 오늘 아침에 좀 눈을 붙였더니, 좀 나아졌어.",surprise,fear,1,surprise,2,sadness,1,neutral,0,surprise,1,46,female
5f41d7ab9dd513131eaceef6,다른 피해가 없어서 정말 다행이었어.,surprise,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,46,female
5f41d7cc9dd513131eaceef8,나 요즘 주식을 시작했는데.,sadness,sadness,2,sadness,1,neutral,0,sadness,2,sadness,2,46,female
5f41d7fe9dd513131eaceef9,단톡방에서 아는 사람이 주식을 추천해서 구입하게 됐어.,sadness,neutral,0,neutral,0,neutral,0,sadness,1,sadness,1,46,female
5f41d8629dd513131eaceefc,주식은 시간이 지나도 오르지 않고 계속 떨어지고 있어서 손해가 보고 있어. 너무 속상해.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,46,female
5f41d8899dd513131eaceefd,"주식이 계속 떨어져서 팔아버릴까 생각을 했는데, 너의 말대로 좀 더 지켜보고 팔아야겠어. ",sadness,sadness,1,sadness,1,sadness,1,sadness,1,neutral,0,46,female
5f41d8ea9dd513131eacef01,내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,angry,disgust,2,angry,1,sadness,1,angry,1,sadness,1,46,female
5f41d9159dd513131eacef02,"며칠 전에 자기는 뒷광고를 하지 않았다고 이야기했는데, 뒷광고 했다고 사과 영상을 올리니까 너무 어이가 없고 실망스러워.",angry,disgust,2,angry,2,sadness,1,angry,1,angry,1,46,female
5f41d9779dd513131eacef04,지금은 너무 화가 나서 기분 전환용 영상도 보기 싫어! 아무 영상도 보기가 싫어!,angry,disgust,2,angry,2,sadness,1,angry,1,angry,2,46,female
5f41d99e9dd513131eacef05,기분 전환용 영상이 어떤 건데? 궁금하긴 하네.,angry,neutral,0,neutral,0,sadness,1,angry,1,neutral,0,46,female
5f41d9c39dd513131eacef07,나 아무래도 갇힌 거 같아!,fear,sadness,2,fear,2,fear,2,fear,2,fear,2,46,female
5f41d9e59dd513131eacef08,잠을 자고 일어났는데 나 혼자 집 안에 갇힌 거 같아. 너무 무서워.,fear,fear,2,fear,2,fear,2,fear,2,fear,2,46,female
5f41da539dd513131eacef0b,"집 밖을 살펴봤는데, 집 주변까지 물이 차올라서, 밖으로 나갈 수 있는 상황이 아니야.",fear,neutral,0,fear,2,sadness,1,fear,1,fear,1,46,female
5f41da779dd513131eacef0c,다행히 집 안에까지는 물이 들어오지 않았어. 몸도 괜찮지만 혼자 있는 거 자체가 너무 무섭고 두려워.,fear,fear,2,fear,2,fear,1,fear,1,fear,2,46,female
5f4259b69dd513131eaceff2,"내일 친구랑 밥 먹기로 했는데, 뭘 먹어야 될지 걱정이야.",neutral,sadness,2,neutral,0,sadness,1,fear,1,sadness,1,48,female
